mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config
2,375,2,rmse,standard,2.1466625934106744,5,0.05605716328275864,Preprocessor1_Model042
2,250,6,rmse,standard,2.1466110567885455,5,0.05807554508092642,Preprocessor1_Model087
6,125,1,rmse,standard,2.1466057333459263,5,0.049232553004879796,Preprocessor1_Model009
6,125,8,rmse,standard,2.1463196786472283,5,0.04753795439612085,Preprocessor1_Model109
6,250,2,rmse,standard,2.1461267492244334,5,0.048636475148018506,Preprocessor1_Model039
8,375,8,rmse,standard,2.146032117629165,5,0.048884356741961434,Preprocessor1_Model120
8,500,4,rmse,standard,2.1459593016844027,5,0.04808248753729715,Preprocessor1_Model075
2,500,8,rmse,standard,2.145782153152493,5,0.056216462525153416,Preprocessor1_Model122
6,125,6,rmse,standard,2.1456793583919973,5,0.0523475501098551,Preprocessor1_Model084
8,375,4,rmse,standard,2.145210661052499,5,0.046672703845491874,Preprocessor1_Model070
4,250,2,rmse,standard,2.1450834324330423,5,0.05023090310121126,Preprocessor1_Model038
8,250,8,rmse,standard,2.1447063202159815,5,0.047554214310400654,Preprocessor1_Model115
4,125,4,rmse,standard,2.144626969096685,5,0.05168291894534275,Preprocessor1_Model058
2,375,4,rmse,standard,2.14451972878407,5,0.05625757731862799,Preprocessor1_Model067
6,125,4,rmse,standard,2.1444557120709704,5,0.04824262912349028,Preprocessor1_Model059
8,500,1,rmse,standard,2.144394883637152,5,0.04507880591197285,Preprocessor1_Model025
8,375,6,rmse,standard,2.1442217506320413,5,0.047284980260140184,Preprocessor1_Model095
8,500,2,rmse,standard,2.1442212364985753,5,0.04722811816140934,Preprocessor1_Model050
2,500,6,rmse,standard,2.1434658757956933,5,0.05502838093255146,Preprocessor1_Model097
2,500,4,rmse,standard,2.143450840834491,5,0.055818492127605625,Preprocessor1_Model072
2,500,2,rmse,standard,2.1430568750547074,5,0.056382655938349915,Preprocessor1_Model047
6,375,1,rmse,standard,2.1428692981840207,5,0.04994397883440972,Preprocessor1_Model019
8,500,8,rmse,standard,2.141643853541745,5,0.0465784338365739,Preprocessor1_Model125
6,250,4,rmse,standard,2.1414995195062696,5,0.04853889142024127,Preprocessor1_Model064
8,500,6,rmse,standard,2.1413242853674976,5,0.04834072059150237,Preprocessor1_Model100
6,500,1,rmse,standard,2.140613722005093,5,0.04779588783728011,Preprocessor1_Model024
6,250,8,rmse,standard,2.140297500991375,5,0.04768038695521974,Preprocessor1_Model114
4,250,4,rmse,standard,2.1394981413050767,5,0.050683022524154464,Preprocessor1_Model063
6,500,2,rmse,standard,2.1392318287827288,5,0.04747386629283447,Preprocessor1_Model049
8,250,6,rmse,standard,2.138843321191654,5,0.050202867636774055,Preprocessor1_Model090
6,375,4,rmse,standard,2.138783951229748,5,0.04882133467114106,Preprocessor1_Model069
6,500,6,rmse,standard,2.138416809105667,5,0.048255527761285257,Preprocessor1_Model099
4,125,8,rmse,standard,2.1379505930974427,5,0.0538760543979318,Preprocessor1_Model108
6,375,6,rmse,standard,2.1379127189606812,5,0.05108282338763777,Preprocessor1_Model094
6,250,6,rmse,standard,2.1376400314182753,5,0.05128584028544173,Preprocessor1_Model089
6,375,2,rmse,standard,2.1374421923502562,5,0.05048667252432768,Preprocessor1_Model044
4,250,1,rmse,standard,2.137396198903872,5,0.04915487005918492,Preprocessor1_Model013
4,125,2,rmse,standard,2.137312254817254,5,0.0497427022441227,Preprocessor1_Model033
4,375,1,rmse,standard,2.136746122684522,5,0.051514136037502864,Preprocessor1_Model018
6,375,8,rmse,standard,2.1367402397021293,5,0.04924140341713619,Preprocessor1_Model119
4,500,2,rmse,standard,2.135808903964148,5,0.05027264929617426,Preprocessor1_Model048
6,500,4,rmse,standard,2.135434108654501,5,0.05028732448831677,Preprocessor1_Model074
6,500,8,rmse,standard,2.135202928703424,5,0.047820245187590774,Preprocessor1_Model124
4,375,2,rmse,standard,2.134964125106647,5,0.05064497328886807,Preprocessor1_Model043
4,500,6,rmse,standard,2.13430599461672,5,0.0503914156938181,Preprocessor1_Model098
4,500,8,rmse,standard,2.1342443539559817,5,0.05118863441641158,Preprocessor1_Model123
4,500,4,rmse,standard,2.1342062254464236,5,0.05006721737963279,Preprocessor1_Model073
4,500,1,rmse,standard,2.1340967188503055,5,0.049595901183873,Preprocessor1_Model023
4,375,4,rmse,standard,2.1338389487894234,5,0.051830089189991276,Preprocessor1_Model068
4,375,6,rmse,standard,2.1309646952676067,5,0.05037293128170964,Preprocessor1_Model093
4,250,6,rmse,standard,2.1306809231096073,5,0.049690449771266444,Preprocessor1_Model088
4,125,6,rmse,standard,2.130405226979831,5,0.05130926760672453,Preprocessor1_Model083
4,250,8,rmse,standard,2.1296873980519284,5,0.05269096144648694,Preprocessor1_Model113
4,375,8,rmse,standard,2.129389524156753,5,0.04943399016251859,Preprocessor1_Model118
